url,final_url,robots_global,robots_googlebot,robots_bingbot,indexable,notes,error
https://www.sciencedirect.com/science/article/pii/S2666603022000136,https://www.sciencedirect.com/science/article/pii/S2666603022000136,"INDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR","INDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR","INDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR",True,,
https://www.sciencedirect.com/science/article/pii/S0747563220303034,https://www.sciencedirect.com/science/article/pii/S0747563220303034,"INDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR","INDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR","INDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR",True,,
https://www.sciencedirect.com/science/article/pii/S1062145805011128,https://www.sciencedirect.com/science/article/pii/S1062145805011128,"NOINDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR","NOINDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR","NOINDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR",False,,
https://www.sciencedirect.com/science/article/pii/S0003497515010887,https://www.sciencedirect.com/science/article/pii/S0003497515010887,"NOINDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR","NOINDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR","NOINDEX,FOLLOW,NOARCHIVE,NOCACHE,NOODP,NOYDIR",False,,
